fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.74;0.219;0.33;6.72;0.077;49.5;204.0;0.997729;3.11;0.6;9.35209011942095;5
7.62;0.314;0.25;12.54;0.048;52.2;183.8;0.994712;3.11;0.47;9.64484217673326;5
6.41;0.301;0.26;4.98;0.041;27.1;161.9;0.995438;3.19;0.45;12.08800569515017;7
7.34;0.213;0.32;7.47;0.052;44.4;96.8;0.993552;3.04;0.59;10.61839109327796;6
6.75;0.3;0.51;4.4;0.037;8.9;85.0;0.98711;3.16;0.34;11.9780730631014;4
6.43;0.185;0.32;3.0;0.035;38.8;77.7;0.992001;3.21;0.58;12.1712762163024;5
7.0;0.253;0.33;3.25;0.04;27.8;127.3;0.990435;2.98;0.55;9.58609965136297;7
7.09;0.314;0.28;13.12;0.045;48.5;120.9;0.997442;3.2;0.57;10.43727920159266;7
7.29;0.163;0.3;14.66;0.123;40.4;184.3;0.993817;3.2;0.53;10.05803507309811;6
5.98;0.192;0.31;8.04;0.042;28.2;148.6;0.995975;3.22;0.41;10.59249471011293;6
7.52;0.392;0.33;13.87;0.059;30.0;222.0;1.001662;3.26;0.49;9.16620870080584;5
6.36;0.404;0.28;3.25;0.032;51.5;155.9;0.99221;3.1;0.66;9.65953511914572;8
6.19;0.304;0.38;4.72;0.029;21.0;87.1;0.98951;3.14;0.46;12.53212111206972;7
6.41;0.326;0.33;10.01;0.046;51.4;153.3;0.994564;3.14;0.39;9.18136053922345;6
6.57;0.148;0.29;1.83;0.046;34.2;182.0;0.99635;3.29;0.76;10.37289841926834;6
8.74;0.303;0.29;8.15;0.05;45.1;172.6;0.994785;3.32;0.51;11.45378230897144;7
7.62;0.243;0.27;9.69;0.039;16.6;135.0;0.992321;3.4;0.49;11.02132799241077;5
6.18;0.274;0.13;6.58;0.044;50.7;153.1;0.995411;3.29;0.5;9.44210482343266;6
7.11;0.285;0.29;5.44;0.049;63.5;206.6;0.994303;3.18;0.51;11.12511929414255;6
7.73;0.384;0.23;5.09;0.052;28.3;127.6;0.992158;3.46;0.72;10.50010488472078;8
6.43;0.296;0.38;5.68;0.052;48.9;128.0;0.994308;3.03;0.44;8.90429793944411;6
