fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.24,0.36,2.0,0.031,27.0,139.0,0.99055,3.28,0.48,12.5,9
9.1,0.27,0.45,10.6,0.035,28.0,124.0,0.997,3.2,0.46,10.4,9
6.6,0.36,0.29,1.6,0.021,24.0,85.0,0.98965,3.41,0.61,12.4,9
7.1,0.26,0.49,2.2,0.032,31.0,113.0,0.9903,3.37,0.42,12.9,9
6.9,0.36,0.34,4.2,0.018,57.0,119.0,0.9898,3.28,0.36,12.7,9
7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
8.0,0.13,0.25,1.1,0.033,15.0,86.0,0.99044,2.98,0.39,11.2,8
8.15,0.161,0.34,4.83,0.03,16.3,108.7,0.987671,3.17,0.56,11.56917272372818,8
6.04,0.355,0.19,1.91,0.02,12.8,92.1,0.989727,3.44,0.22,10.69412414801414,8
7.0,0.22,0.26,9.2,0.027,37.0,122.0,0.99228,3.06,0.34,12.5,8
6.98,0.251,0.28,7.82,0.055,23.4,184.4,0.997931,3.21,0.36,9.75938789172912,8
7.34,0.33,0.21,2.45,0.054,27.6,84.5,0.992426,3.23,0.37,11.37027309864308,8
6.75,0.371,0.29,5.99,0.049,24.6,103.1,0.993137,3.48,0.3,11.05026778923025,8
6.2,0.281,0.31,3.15,0.035,23.6,103.8,0.991148,3.3,0.3,11.12493041438028,8
5.67,0.5,0.32,6.71,0.05,19.2,110.8,0.994934,3.04,0.73,10.85443321142367,8
6.47,0.412,0.19,6.38,0.041,7.0,108.5,0.991378,3.2,0.34,11.41941159130814,8
6.52,0.376,0.47,2.69,0.028,11.3,113.2,0.99177,3.17,0.37,12.61791860621263,8
8.36,0.285,0.3,7.3,0.044,17.7,87.3,0.994839,3.05,0.42,10.87564473993786,8
6.39,0.241,0.34,2.8,0.027,11.5,99.0,0.988393,3.33,0.36,10.58395561400174,8
6.95,0.322,0.24,1.46,0.066,22.4,132.3,0.992985,3.25,0.38,11.0757506795646,8
6.8,0.24,0.29,2.0,0.044,15.0,96.0,0.99232,3.23,0.64,10.4,8
7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
6.26,0.22,0.35,2.93,0.05,49.4,114.9,0.992524,3.27,0.55,11.85007684790876,8
7.12,0.292,0.31,4.25,0.03,13.6,102.6,0.988943,3.44,0.31,10.03171046283013,8
7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
7.3,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
7.63,0.561,0.34,7.92,0.051,55.1,131.1,0.996188,3.09,0.49,9.26042843209334,8
5.78,0.311,0.28,6.98,0.054,17.7,160.3,0.996188,3.25,0.63,10.69261359368682,8
7.69,0.418,0.22,4.06,0.056,47.7,124.8,0.994744,3.28,0.36,9.59622266414235,8
